,sentence,label,title
26,"Кроме того, в созданном 1 июля 2019 года на базе ЕИСЖС Едином реестре проблемных объектов ежедневно обновляется перечень проектов, ввод в эксплуатацию которых задержан на 6 и более месяцев, либо в отношении застройщика введено конкурсное производство или иная процедура в деле о банкротстве.",1,В Едином реестре проблемных объектов ежедневно обновляется перечень проектов
27,"Отметим, что та же самая компания в данный момент занимается прокладкой труб водовода на улице Бабикова и затягивает сроки сдачи объекта.",1,Кто занимается прокладкой труб водовода на улице Бабикова?
28,"Компания « Тюмень-Лукойл-Строй » начала строительство здания в 2001 году на средства дольщиков, но строительство так и не было закончено.",1,Тюмень-Лукойл-Строй начала строительство здания на средства дольщиков
29,"INTERFAX.RU - ООО ""ВО ""Технопромэкспорт"" обратилось в Минэнерго РФ с просьбой перенести ввод в эксплуатацию двух электростанций в Крыму на март 2019 года.",1,"ООО ""ВО ""Технопромэкспорт"" обратилось в Минэнерго РФ"
30,"Департамент здравоохранения подал в суд на застройщика, чтобы получить неустойку в 218, 5 миллионов рублей за задержку ввода в эксплуатацию объекта, на строительство которого потрачено более 10 миллиардов рублей.",1,Департамент здравоохранения подал в суд на застройщика за задержку ввода
31,"Изначально ввод участков в эксплуатацию был запланирован на 2018 год, однако сроки неоднократно переносили: сначала на 2019 год, а затем на 2020 год.",1,Изначально ввод участков в эксплуатацию был запланирован на 2018 год
32,"Три раза пожаловались на отсутствие автоматической мойки колес на стройплощадке, восемь обращений поступило на тему высокого уровня шума строительных работ, три касались задержки сроков сдачи объекта, 10 - долевого строительства, шесть – несоблюдения сроков строительства и четыре - отсутствия информационного щита на стройобъекте.",1,Три раза пожаловались на отсутствие автоматической мойки колес на стройплощад
33,В декабре 2016 года министр спорта Игорь Белоус был вынужден покинуть свой пост уже при Антоне Алиханове (в ранге и.о. губернатора) – как раз из-за задержки с вводом ФОК в эксплуатацию.,1,Игорь Белоус был вынужден покинуть пост при Антоне Алиханове
34,Вчера руководство ООО «Кока-Кола эйч-би-си Евразия» (дочернее подразделение концерна Coca-Cola) объявило о переносе сроков запуска в эксплуатацию завода безалкогольных напитков в Ростовской области.,1,Вчера руководство ООО «Кока-Кола эйч-би-си
35,"Ввод домов в эксплуатацию переносили несколько раз, судя по последним изменениям проектной декларации, процедура перенесена с первого на третий квартал 2019 года.",1,Ввод домов в эксплуатацию переносили несколько раз
36,"Дом обещали сдать в начале 2016 года, но год спустя объект в числе проблемных попал под пристальное наблюдение строительного блока Смольного, а ввели в эксплуатацию комплекс только в августе 2018 года.",1,"Дом обещали сдать в начале 2016 года, но ввели в эксплуатацию"
37,"В Едином реестре застройщиков говорится, что она сдает дома с задержкой сроков ввода до 1,5 года.",1,"В Едином реестре застройщиков говорится, что она сдает дома с"
38,В Пензе проверят факт задержки на 7 месяцев ввода в эксплуатацию лифта в доме № 30а на улице Карпинского.,1,В Пензе проверят факт задержки ввода в эксплуатацию лифта в доме No 30
39,"– Степень готовности дома составляет 11%, застройщиком в период с 2006 по 2008 годы привлечены денежные средства граждан в размере 38 млн рублей, говорится в обращении, однако до сих пор дом не введен в эксплуатацию, – отмечает Юрий Пономарев.",1,Пономарев: Дом введен в эксплуатацию до сих пор не введен в эксплуатаци
40,"Нам обещали, что ввод в эксплуатацию будет осуществлен в декабре 2004 года и тогда же мы получим временный ордер.",1,"Мы обещали, что ввод в эксплуатацию будет осуществлен в декабре 2004"
41,"Задержка строительства, таким образом, составит более двух лет.",1,Задержка строительства составит более двух лет
42,"Балтийский завод затягивает сроки строительства атомных ледоколов, необходимых для бесперебойного функционирования Северного морского пути.",1,Балтийский завод затягивает сроки строительства атомных ледоколов
43,"Счетная палата по итогам проверки Центральной кольцевой автомобильной дороги (ЦКАД) выявила причины, которые привели к срыву сроков ее строительства.",1,"Счетная палата выявила причины, которые привели к срыву с"
44,"Суммарная задержка, таким образом, составит почти три года: строительство было начато в 2011 году и первые покупатели квартир в новостройке рассчитывали поучить ключи ко второму кварталу 2013 года.",1,Первые покупатели квартир в новостройке рассчитывали поучить ключи к второму
45,"""Действительно, мы обратились с просьбой о переносе сроков ввода в эксплуатацию на март 2019 года.",1,"""Действительно, мы обратились с просьбой о переносе сроков ввода"
46,Задержки в возведении жилья коснулись даже таких крупных застройщиков как компания «ООО «Запад».,1,Задержки в строительстве жилья коснулись даже таких крупных застройщиков
47,"ООО «Инвестиции в будущее» строит дом с отставанием в 9 месяцев по адресу: проезд Северный Власихинский, 112.",1,ООО «Инвестиции в будущее» строит дом с отставанием в 9 месяцев
48,Возможный и допустимый срок задержки ввода в эксплуатацию новостройки составляет 2-3 месяца.,1,Срок задержки ввода в эксплуатацию новостройки составляет 2-3 месяца.
49,"Даже крупные компании, на подобии СУ-155 допускают задержки при сдачи дома в эксплуатацию, чего уж говорить о более мелких.",1,Даже крупные компании допускают задержки при сдаче дома в эксплуатацию
50,"Дольщики второй очереди жилого комплекса ""Архимед"" в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода их дома в эксплуатацию.",1,"Дольщики второй очереди жилого комплекса ""Архимед"" пожаловались"
51,"Прежде всего, необходимо получить достоверные сведения о причинах задержки ввода дома в эксплуатацию.",1,Что нужно знать о причинах задержки ввода дома в эксплуатацию?
52,"Глава минобрнауки Челябинской области Александр Кузнецов пояснил, что в срыве сроков подготовки школы к 1 сентября виноват, главным образом, строительный подрядчик.",1,Глава Минобрнауки Челябинской области объяснил срыв сроков подготовки
53,"- В 2018 года стало ясно, что такими темпами мы дом в срок не сдадим: отставание от графика составило три с половиной месяца.",1,"В 2018 году стало ясно, что мы дом в срок не сдадим:"
54,"«На данный момент просрочка ввода в эксплуатацию корпусов 2-й очереди Новограда Павлино составляет минимум 6 месяцев, и визуально видно, что работы на некоторых корпусах практически остановлены, – констатирует Роман.",1,«На данный момент просрочка ввода в эксплуатацию корпусов Новограда Павлино со
55,Однако задержка сроков сдачи составила почти 700 дней.,1,Однако задержка сроков сдачи составила почти 700 дней.
56,"Дольщики второй очереди жилого комплекса ""Архимед"" в Сергиевом Посаде пожаловались altgazeta.ru на задержку ввода их дома в эксплуатацию.",1,"Дольщики второй очереди жилого комплекса ""Архимед"" пожаловались"
57,"«Ряд проектов не сданы в срок, – подтверждает еще один дольщик, Роман Рябов.",1,«Ряд проектов не сданы в срок»
58,"По данным “Ъ”, строительство атомного ледокола ЛК-60 «Арктика» снова не укладывается в сроки.",1,"По данным «Ъ», строительство атомного ледокола «Арктика»"
59,"Согласно материалам дела, просрочка относительно сроков, указанных в договоре долевого строительства, составила 85 дней – дом “Запад-2"" должен был ввести в эксплуатацию до начала 2016 года, а квартиры сдать в апреле текущего года.",1,"""Запад-2"" должен был ввести в эксплуатацию до начала 2016 года"
60,"Напомним, данный застройщик успел помотать нервы и жителям Тюмени, задержав сдачу дома в ЖК «Москва».",1,В Тюмени застройщик успел помотать нервы и жителям Тюмени
61,"Информация о задержке сдачи дома ""Панинский"".",1,"Информация о задержке сдачи дома ""Панинский""."
62,"Из-за задержки ввода дома в эксплуатацию провели проверку и нашли нарушения, которые касаются сроков передачи застройщиком объектов долевого строительства участникам строительства, также не предоставлены ежеквартальные отчетности застройщика.",1,"Нашли нарушения, касающиеся сроков передачи объектов долевого строительства участ"
63,"Директор лицея объясняет задержку ремонта бездействием недобросовестных подрядчиков Смоленск, 26 августа.",1,Директор лицея объясняет задержку ремонта бездействием недобросовестных под
64,"При этом дольщики «Норманна» столкнулись с серьезной задержкой сроков ввода жилых объектов в эксплуатацию, и в конце 2018 года петербургские власти признали строительную компанию проблемной.",1,«Норманна» столкнулась с серьезной задержкой сроков ввода жилых
65,"Как представитель застройщика пояснял дольщикам, задержка сроков строительства связана со смертью основного учредителя и действующего на тот момент генерального директора А. В. Маркова.",1,Застройщик: задержка сроков строительства связана со смертью основного учредител
66,"Однако, все бы казалось ничего, многие застройщики допускают существенные задержки сдачи жилья в эксплуатацию, нарушая договор долевого участия.",1,Застройщики допускают существенные задержки сдачи жилья в эксплуатацию
67,"Предложите застройщику погасить задолженность за просрочку сдачи дома в эксплуатацию в досудебном порядке, на добровольной основе.",1,Застройщик может погасить задолженность за просрочку сдачи дома в эксплуатаци
68,"Как пишет «Коммерсантъ», срок реализации проектов ООО «НГСК» и ООО «Балтийская газохимическая компания» (БГХК) в окрестностях порта Усть-Луга переносится с 2018 на 2019 год.",1,Срок реализации проектов «НГСК» и «Балтийская газохимическая
69,"Строительство третьей ВПП стоимостью 35,5 млрд рублей планировалось окончить к прошедшему в 2018 году чемпионату мира по футболу, но затем срок перенесли на 2019 года.",1,Строительство третьей ВПП планировалось окончить к чемпионату мира по футболу
70,Но сроки сдачи отдельных участков дороги неоднократно сдвигались.,1,Сроки сдачи отдельных участков дороги неоднократно сдвигались.
71,Ситуацию с задержкой ввода объекта в эксплуатацию обсудили в четверг на «Образовательном часе» в Правительстве республики.,1,В Правительстве республики обсудили ситуацию с задержкой ввода объекта в
72,Пресс-служба строительной компании «Унистрой» прокомментировала Inkazan появившиеся данные Единого реестра застройщиков (ЕРЗ) о задержках ввода объектов.,1,«Унистрой» прокомментировала появившиеся данные ЕРЗ о задержках
73,Детскую поликлинику в Орджоникидзевском районе в срок не сдадут.,1,Детскую поликлинику в Орджоникидзевском районе в срок не с
74,"Новая школа в Красном Аксае на 1,1 тыс. мест не сможет сразу принять учеников из-за задержек с вводом объекта в эксплуатацию и оформлением документации, рассказала начальник управления образования Ростова Виктория Чернышева.",1,"Ростовская школа на 1,1 тыс. мест не сможет сразу принять учеников"
75,"Дольщики жалуются на срыв сроков строительства дома по адресу Павловский тракт, 291 в Барнауле (ЖК «Олимпийский»).",1,В Барнауле дольщики жалуются на срыв сроков строительства дома
76,"Бизнесвумен взыскала с «Интеко» 1,5 млн за срыв сроков сдачи квартиры за 58 млн руб.",1,"«Интеко» взыскала с «Интеко» 1,5 млн за с"
77,"Ранее участники долевого строительства, обеспокоенные задержкой сроков сдачи домов, приходили на личный приём к губернатору Орловской области Андрею Клычкову и обращались на «Прямую линию с Владимиром Путиным».",1,«Прямую линию с Владимиром Путиным»
78,"Строительство дома №19 на ул. Ленина по программе переселения из ветхого аварийного жилья отстает от графика –  информация прозвучала на выездном совещании, состоявшемся на строительной площадке 6 июля, сообщает корреспондент «ЭВ».",1,Строительство дома No19 на ул. Ленина отстает от графика
79,"В марте 2019 года губернатора Антон Алиханов не исключил, что в графике реализации проекта могут возникнуть некоторые «задержки».",1,"Алиханов не исключил, что в графике реализации проекта могут возник"
80,"Компания ""Кубанская Марка"", которая также входит в группу компаний ""ВКБ-Новостройки"" и строит дома в Ростове, задержала сроки сдачи дома на Вавилова, 7 на год, еще более двух лет дополнительно будут ждать свои квартиры дольщики по улице Теряева, 5.",1,"""Кубанская Марка"" задержала сроки сдачи дома на Вавилова"
81,"Дольщикам второго корпуса надоело ждать сдачи дома, начальные сроки которой давно прошли.",1,Дольщикам второго корпуса надоело ждать сдачи дома
82,Пока формально ни одно из зданий не введено в эксплуатацию.,1,Пока ни одно из зданий не введено в эксплуатацию.
83,Серьезная задержка строительства зарегистрирована в новостройке «Балтийская волна» от строительной компании «РАНТ».,1,Серьезная задержка строительства в новостройке «Балтийская волна»
84,"Директор по развитию ГК добавил, что стройка затянулась по двум причинам: «В начале 2018 года темпы строительства снизились в результате общего спада на рынке, что привело к незначительной задержке ввода объектов в эксплуатацию, а осенью того же года регистрация новых договоров долевого участия в строящихся домах была остановлена в соответствии с изменениями, внесенными в 214-ФЗ, что привело к дефициту финансирования».",1,В начале 2018 года темпы строительства снизились в результате общего спада
85,"Сроки строительства 4 тыс. жилых комплексов общей площадью 40 млн кв. м из 126 млн, которые возводятся сегодня, могут быть перенесены из-за проблем с получением проектного финансирования",1,Сроки строительства жилых комплексов могут быть перенесены из-за проблем
86,"Власти Петербурга согласовали перенос сроков завершения строительства трех фармзаводов в промзоне «Пушкинская»: для ООО «Неон» срок продлен до апреля 2016 года, для ООО «Герофарм» – до января 2017 года, для ООО «Самсон-Мед» – до марта 2018 года.",1,Власти Петербурга согласовали перенос сроков завершения строительства трех фармзаводов в
87,"Бизнесмен Сухов пообещал дольщикам, что долгострой на ул. Большевистской сдадут в эксплуатацию до начала зимы.",1,Строительство на ул. Большевистской сдадут в эксплуатацию до начала зим
88,Вместо конца 2015 года дом будет введен в эксплуатацию в конце 2016 года.,1,Вместо конца 2015 года дом будет введен в эксплуатацию в конце 2016 года.
89,"Пример – сдача дома «Апельсин» застройщика «СМУ КПД», где не введены, как обозначено в письме, три дома, сроки передачи которых истекли 21.12.2015.",1,Сдача дома «Апельсин» застройщика «СМУ КПД»
90,Руководство компании перенесло официальную сдачу 1 очереди строительства со 2 квартала 2017 года на 3 квартал,1,Руководство компании перенесло официальную сдачу 1 очереди строительства на
91,"«Отставание в графике строительства ЖК «Любимов» не скажется на качестве», — Максим Решетников
Имеющееся отставание от графика строительства двух домов первой очереди ЖК «Любимов» в Березниках никак не скажется на качестве работ, сообщил губернатор Пермского края Максим Решетников.",1,«Отставание в графике строительства ЖК «Любимов» не скажется
92,"Новый запрос датского регулятора может привести к задержке в реализации ""Северного потока — 2"".",1,Новый запрос датского регулятора может привести к задержке в реализ
93,«Стройград»: грандиозная ульяновская стройка (с дольщиками) у «Пушкаревского кольца» отстала на два года.,1,«Стройград»: грандиозная стройка у «Пушкаревского кольца»
94,"На сегодняшний день на территории Кировской области имеются два объекта строительства, по которым нарушен срок передачи их участникам долевого строительства.",1,В Кировской области нарушен срок передачи участникам долевого строительства
95,Для справки - с 2017 года там начались задержки по вводу в эксплуатацию новых жилых домов.,1,С 2017 года там начались задержки по вводу в эксплуатацию новых жилых домов
96,"Представители «Тюменьэнергостроя» (ТЭС) объяснили дольщикам, почему сорвался срок сдачи эксплуатации дома ГП-2 в ЖК «Славутич» назначенный на 4 квартал 2018 года.",1,"«Тюменьэнергострой» объяснил дольщикам, почему сорвался срок"
97,"Изначально дом планировали достроить до 20 мая 2018 г., но затем сроки перенесли на IV кв. 2018 г.
Изначально планировали сдать первые два дома в мае 2018 г., однако срок сдачи первого корпуса перенесли на полгода позже, второго — почти на 2 года.",1,Изначально планировали сдать первые два дома в мае 2018 г.
98,"Он напомнил, что первый раз срок переносился из-за задержки по независящим от компании причинам с поставкой основного оборудования, из-за чего сроки строительства ТЭС изначально существенно сдвинулись.",1,"Он напомнил, что сроки строительства ТЭС изначально существенно сдвинулись"
99,"Задержка сдачи домов произошла, потому что нас не обошли экономические трудности в стране, финансирование и кредитование банка в определенный момент было приостановлено.",1,"Задержка сдачи домов произошла, потому что нас не обошли экономические"
100,"Член инициативной группы Александр Назаров сразу же напомнил собравшимся, что возведение жилого комплекса остановилось в марте 2016 года - и с тех пор утекло немало воды.",1,Строительство жилого комплекса остановилось в марте 2016 года
101,В столице затягивают сроки ввода в эксплуатацию офисной недвижимости.,1,В столице затягивают сроки ввода в эксплуатацию офисной недвижимости
102,"Проекты, которые реализуются с участием бизнесменов Михаила и Саит-Салама Гуцериевых на территории «Сколково», могут быть завершены с задержкой из-за финансовых проблем инвесторов, рассказал RNS первый заместитель генерального директора объединенной дирекции по управлению активами и сервисами фонда «Сколково» (ОДАС «Cколково») Сергей Иванченко.",1,Проекты «Сколково» могут быть завершены с задержкой
103,ООО «ВТУС» заплатит почти 400 тысяч рублей за задержку сдачи дома,1,ООО «ВТУС» заплатит почти 400 тысяч рублей за задержку сдачи
104,"Строительство ЖК ""У парка"" в Самаре встало из-за конфликта застройщика и генподрядчика.",1,"Строительство ЖК ""У парка"" в Самаре встало из-за конфликта"
105,Киевские и пригородные застройщики начали чаще срывать сроки ввода домов в эксплуатацию.,1,Киевские и пригородные застройщики начали чаще срывать сроки
106,"Соответственно сроки, например, в ЖК «Квартал «Европейский», переносятся уже не первый раз.",1,Сроки в ЖК «Квартал «Европейский» переносятся уже не перв
